  wn	             sow(s)	          rcvr_x(m)	          rcvr_y(m)	          rcvr_z(m)	       rcvr_vx(m/s)	       rcvr_vy(m/s)	       rcvr_vz(m/s)	     rcvr_ax(m/s^2)	     rcvr_ay(m/s^2)	     rcvr_az(m/s^2)	     jerk_ax(m/s^3)	     jerk_ay(m/s^3)	     jerk_az(m/s^3)	         longitude(rad)	          latitude(rad)	        altitude(m)	         pitch(deg)	          roll(deg)	           yaw(deg)	        distacne(m)	     elevation(deg)	       azimuth(deg)	
 756	         487926.000	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.100	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.200	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.300	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.400	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.500	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.600	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.700	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.800	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
 756	         487926.900	-2178204.5069413660	 4382013.3694644952	 4077085.1783051277	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03210398261109	       0.69794039374282	      49.7982404809	       0.1313781738	       0.0000000000	      88.5787963867	       0.0000000000	      22.7235717773	      -0.0000000000	
